Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),"	24h Low (USD)",Adj Close,Volume
USD,1/1/2015,314.248993,320.434998,320.434998,314.002991,314.248993,8036550
USD,1/2/2015,315.032013,314.07901,315.838989,313.565002,315.032013,7860650
USD,1/3/2015,281.082001,314.846008,315.149994,281.082001,281.082001,33054400
USD,1/4/2015,264.195007,281.145996,287.230011,257.612,264.195007,55629100
USD,1/5/2015,274.473999,265.084015,278.341003,265.084015,274.473999,43962800
USD,1/6/2015,286.188995,274.610992,287.553009,272.696014,286.188995,23245700
USD,1/7/2015,294.337006,286.076996,298.753998,283.07901,294.337006,24866800
USD,1/8/2015,283.348999,294.13501,294.13501,282.174988,283.348999,19982500
USD,1/9/2015,290.40799,282.382996,291.114014,280.53299,290.40799,18718600
USD,1/10/2015,274.79599,287.303009,288.127014,273.966003,274.79599,15264300
USD,1/11/2015,265.660004,274.608002,279.638,265.039001,265.660004,18200800
USD,1/12/2015,267.79599,266.145996,272.203003,265.200012,267.79599,18880300
USD,1/13/2015,225.860992,267.394012,268.277008,219.906006,225.860992,72843904
USD,1/14/2015,178.102997,223.893997,223.893997,171.509995,178.102997,97638704
USD,1/15/2015,209.843994,176.897003,229.067001,176.897003,209.843994,81773504
USD,1/16/2015,208.097,209.070007,221.591003,199.770996,208.097,38421000
USD,1/17/2015,199.259995,207.834,211.731003,194.875,199.259995,23469700
USD,1/18/2015,210.339005,200.050003,218.695007,194.505997,210.339005,30085100
USD,1/19/2015,214.860992,211.470993,216.727997,207.317993,214.860992,18658300
USD,1/20/2015,211.315002,212.906998,215.240997,205.153,211.315002,24051100
USD,1/21/2015,226.897003,211.378006,227.787994,211.212006,226.897003,29924600
USD,1/22/2015,233.406006,227.322006,237.018997,226.434006,233.406006,33544600
USD,1/23/2015,232.878998,233.516998,234.845001,225.195999,232.878998,24621700
USD,1/24/2015,247.847,232.699997,248.210007,230.022003,247.847,24782500
USD,1/25/2015,253.718002,247.352005,255.074005,243.889999,253.718002,33582700
USD,1/26/2015,273.472992,254.078995,309.384003,254.078995,273.472992,106794000
USD,1/27/2015,263.475006,273.166992,275.480011,250.653,263.475006,44399000
USD,1/28/2015,233.914993,263.351013,266.535004,227.046005,233.914993,44352200
